height,weight,chest,waist,hips,shoulders,arm_length,fabric,dress_type,stitching_cost
168,48,98,98,91,42,53,Organza,Skirt,1073
153,69,86,75,90,48,54,Cotton,Short Kurtis,914
180,79,75,66,93,50,54,Organza,Skirt,1025
167,75,88,83,97,44,61,Lenin,Frock,957
145,77,83,78,108,40,62,Lenin,Punjabi Suits,988
179,42,77,82,91,38,53,Cotton,Punjabi Suits,938
163,67,73,99,104,46,60,Polyster,Punjabi Suits,985
177,65,105,89,93,41,55,Lenin,Short Kurtis,996
180,52,102,65,93,49,53,Silk,Punjabi Suits,1053
180,49,106,89,103,50,62,Cotton,Short Kurtis,1014
141,77,93,72,101,47,51,Cotton,Short Kurtis,924
178,48,74,75,106,49,62,Organza,Punjabi Suits,1046
171,48,110,81,90,39,56,Cotton,Punjabi Suits,986
178,69,93,74,82,35,63,Velvet,Skirt,1064
175,47,95,74,86,46,52,Velvet,Short Kurtis,1024
156,48,103,63,106,46,47,Velvet,Skirt,1068
157,53,80,81,87,35,59,Silk,Frock,956
171,52,93,83,103,42,57,Silk,Saree,1070
154,61,101,88,97,49,63,Organza,Short Kurtis,1050
145,77,92,63,96,36,65,Organza,Skirt,1019
168,67,89,90,80,46,64,Silk,Tunics,1059
159,65,75,74,98,43,56,Lenin,Short Kurtis,927
153,54,76,93,94,46,56,Organza,Short Kurtis,998
155,73,73,60,106,49,49,Velvet,Frock,973
155,57,76,70,80,50,49,Organza,Short Kurtis,940
178,77,108,74,97,47,53,Velvet,Frock,1055
165,55,90,92,99,50,57,Polyster,Short Kurtis,962
180,61,78,84,82,44,47,Cotton,Skirt,945
180,53,91,88,96,44,46,Organza,Frock,998
164,44,93,81,97,37,65,Organza,Short Kurtis,1015
151,70,105,78,82,38,52,Lenin,Short Kurtis,936
146,80,96,78,81,47,50,Velvet,Frock,991
160,64,92,100,98,48,57,Cotton,Skirt,1021
142,70,85,90,79,35,61,Organza,Skirt,1012
163,73,101,65,107,49,46,Velvet,Frock,1026
144,42,92,82,91,40,51,Polyster,Saree,924
165,41,99,63,81,48,65,Silk,Tunics,1030
153,77,104,89,99,39,63,Lenin,Saree,1028
146,71,105,68,109,40,59,Silk,Skirt,1072
180,65,75,77,97,42,48,Organza,Frock,963
149,44,86,92,101,43,64,Organza,Frock,1003
152,54,76,84,90,48,61,Velvet,Skirt,1058
180,49,73,66,103,43,53,Lenin,Tunics,956
165,44,77,100,82,38,62,Polyster,Punjabi Suits,945
156,79,75,80,96,41,58,Organza,Skirt,1025
179,74,103,92,105,36,64,Silk,Punjabi Suits,1116
162,56,110,66,84,39,48,Organza,Tunics,1008
157,43,107,64,95,39,62,Lenin,Skirt,991
140,66,90,72,103,35,56,Organza,Frock,958
157,40,82,88,86,37,53,Velvet,Frock,978
178,49,94,91,102,43,49,Velvet,Short Kurtis,1066
173,74,109,93,107,38,55,Silk,Punjabi Suits,1114
144,67,82,70,79,45,50,Silk,Short Kurtis,947
151,46,80,70,103,49,50,Velvet,Tunics,1035
144,78,78,90,82,45,51,Silk,Short Kurtis,980
165,46,98,93,109,39,64,Silk,Short Kurtis,1072
158,76,95,71,80,48,50,Cotton,Saree,937
171,61,108,98,81,49,65,Polyster,Punjabi Suits,1018
150,43,82,67,88,47,48,Lenin,Tunics,923
158,78,86,70,90,41,59,Silk,Frock,970
160,46,77,60,103,39,49,Silk,Saree,985
149,73,99,73,80,49,61,Lenin,Punjabi Suits,976
147,76,70,91,99,48,45,Lenin,Punjabi Suits,962
177,76,107,94,90,44,65,Lenin,Frock,1005
165,54,83,87,104,49,62,Lenin,Punjabi Suits,1017
141,47,105,77,78,42,50,Organza,Skirt,1007
146,77,92,90,85,49,53,Silk,Skirt,1056
146,47,82,77,78,47,46,Silk,Saree,978
159,72,107,77,102,47,50,Polyster,Frock,935
154,46,97,84,91,46,47,Silk,Saree,1036
156,64,90,69,109,46,54,Polyster,Frock,908
161,49,110,85,85,38,54,Silk,Tunics,1053
157,75,107,68,103,39,56,Lenin,Punjabi Suits,999
146,60,71,70,93,39,48,Polyster,Skirt,889
140,62,78,87,90,49,52,Polyster,Tunics,927
166,66,95,98,104,36,54,Velvet,Tunics,1104
164,47,73,99,83,40,46,Velvet,Punjabi Suits,1028
175,46,91,60,87,47,53,Velvet,Saree,1032
178,60,85,84,97,46,47,Lenin,Short Kurtis,960
160,66,93,71,85,35,64,Cotton,Tunics,941
153,56,97,91,84,48,46,Organza,Short Kurtis,1000
177,59,72,96,104,35,51,Silk,Tunics,1047
170,53,71,100,88,40,63,Organza,Skirt,1046
173,53,86,71,90,35,65,Silk,Short Kurtis,996
148,42,70,95,106,45,57,Cotton,Tunics,963
157,60,104,70,83,38,53,Silk,Frock,967
149,50,77,70,96,42,51,Polyster,Skirt,910
147,52,81,74,91,36,46,Organza,Skirt,977
169,41,103,93,98,38,53,Velvet,Tunics,1096
146,73,108,72,89,39,54,Lenin,Skirt,984
157,73,72,89,109,36,52,Velvet,Saree,1056
153,80,110,61,81,38,56,Velvet,Frock,987
169,54,98,72,90,48,59,Cotton,Short Kurtis,943
156,63,89,99,78,40,45,Lenin,Saree,962
144,61,87,74,84,36,59,Velvet,Skirt,1026
159,58,97,85,100,42,55,Silk,Tunics,1065
171,47,101,93,96,48,47,Cotton,Frock,949
151,59,86,79,97,35,52,Lenin,Frock,904
158,62,90,77,76,35,63,Organza,Tunics,998
180,60,98,82,86,41,64,Velvet,Frock,1039
167,68,72,61,103,48,64,Lenin,Tunics,967
162,79,84,73,101,50,62,Organza,Saree,1050
171,56,96,67,110,44,56,Silk,Saree,1064
140,73,73,65,102,38,50,Polyster,Tunics,888
150,47,87,60,97,46,52,Cotton,Frock,869
174,42,87,87,103,46,64,Silk,Frock,1033
176,42,72,64,94,49,60,Velvet,Frock,983
144,79,109,75,107,48,61,Cotton,Frock,961
145,44,100,63,82,36,64,Lenin,Frock,889
157,41,93,82,79,50,59,Lenin,Frock,924
171,49,76,60,82,42,50,Cotton,Punjabi Suits,887
140,66,93,84,90,37,62,Cotton,Tunics,953
153,51,103,75,107,38,51,Organza,Punjabi Suits,1041
164,57,91,85,105,40,48,Lenin,Punjabi Suits,993
145,76,85,100,106,46,64,Organza,Tunics,1083
158,62,71,90,104,46,59,Silk,Punjabi Suits,1052
143,78,101,66,98,36,48,Silk,Short Kurtis,984
152,71,92,70,76,41,52,Lenin,Skirt,941
144,45,77,85,83,42,59,Lenin,Short Kurtis,910
167,71,110,60,89,38,61,Polyster,Skirt,963
147,48,76,66,97,37,45,Organza,Punjabi Suits,956
164,70,94,78,97,38,56,Velvet,Frock,1018
170,75,89,82,98,47,47,Cotton,Short Kurtis,944
146,57,71,82,99,40,62,Velvet,Short Kurtis,1007
175,74,81,69,76,47,47,Organza,Frock,933
141,58,94,93,88,37,52,Silk,Saree,1029
178,63,88,77,77,40,51,Cotton,Saree,931
159,51,91,87,93,36,61,Organza,Short Kurtis,1006
147,63,70,87,110,45,46,Organza,Saree,1016
162,60,106,85,110,47,64,Cotton,Saree,1037
156,69,88,62,86,40,63,Polyster,Short Kurtis,886
167,52,81,95,83,40,45,Organza,Punjabi Suits,1006
151,70,110,68,89,35,64,Organza,Saree,1033
148,76,106,100,104,38,64,Velvet,Skirt,1141
179,46,102,68,88,41,63,Cotton,Short Kurtis,941
143,79,106,79,103,47,62,Organza,Tunics,1076
151,66,75,77,86,37,56,Lenin,Skirt,939
166,60,98,89,86,45,52,Organza,Skirt,1057
175,40,110,71,110,42,51,Silk,Frock,1029
180,74,96,67,92,38,57,Polyster,Skirt,962
148,44,105,94,101,48,51,Velvet,Punjabi Suits,1102
141,53,104,89,91,35,51,Cotton,Punjabi Suits,956
153,68,105,60,81,37,55,Cotton,Saree,922
169,67,85,61,101,47,60,Cotton,Tunics,957
161,46,76,83,81,47,51,Silk,Tunics,1001
174,76,86,84,86,43,59,Silk,Skirt,1060
174,52,75,81,109,50,56,Cotton,Saree,982
154,51,73,85,98,48,46,Cotton,Skirt,945
145,50,110,89,100,43,65,Lenin,Skirt,1044
152,56,96,60,94,49,61,Silk,Tunics,1030
158,47,106,97,90,45,51,Polyster,Skirt,996
153,80,106,60,99,40,47,Cotton,Frock,896
145,53,82,98,96,40,50,Organza,Frock,973
151,44,106,70,95,50,64,Silk,Skirt,1073
175,80,102,83,91,47,62,Polyster,Punjabi Suits,1002
151,50,98,85,76,35,65,Velvet,Saree,1046
169,59,82,82,105,46,45,Silk,Punjabi Suits,1044
170,49,87,88,80,44,65,Silk,Punjabi Suits,1048
171,79,106,66,102,38,64,Polyster,Tunics,985
162,54,104,84,108,43,55,Lenin,Saree,1028
151,79,87,67,87,41,47,Polyster,Frock,850
171,62,99,71,95,42,51,Cotton,Saree,963
166,63,100,91,97,45,54,Velvet,Punjabi Suits,1103
174,45,101,62,95,46,53,Silk,Short Kurtis,1009
146,44,101,68,91,40,55,Organza,Short Kurtis,975
172,47,87,92,96,43,54,Lenin,Punjabi Suits,1001
178,40,70,98,93,38,62,Velvet,Punjabi Suits,1067
141,67,74,77,93,39,62,Silk,Skirt,1013
177,67,110,96,79,39,61,Silk,Skirt,1100
143,63,103,83,101,47,60,Polyster,Tunics,987
165,62,81,65,84,48,61,Velvet,Skirt,1040
142,44,71,75,81,41,47,Cotton,Saree,872
163,49,87,97,77,44,48,Silk,Punjabi Suits,1026
140,55,94,61,108,46,47,Organza,Saree,1005
141,47,82,88,101,48,64,Lenin,Punjabi Suits,994
154,44,99,66,86,37,54,Cotton,Tunics,921
166,76,106,80,83,46,64,Lenin,Short Kurtis,985
146,71,90,71,87,48,49,Silk,Frock,958
155,70,70,60,79,39,59,Organza,Skirt,957
164,53,86,73,110,37,55,Polyster,Punjabi Suits,950
145,49,72,84,100,39,59,Velvet,Frock,984
149,47,94,90,99,45,56,Velvet,Frock,1031
150,58,94,100,79,38,55,Lenin,Frock,928
151,73,104,80,97,39,58,Cotton,Skirt,992
163,67,85,71,85,36,48,Velvet,Short Kurtis,979
159,47,78,96,89,46,47,Cotton,Skirt,957
165,60,110,72,103,43,60,Lenin,Saree,1023
145,73,109,98,109,42,65,Polyster,Short Kurtis,1005
167,47,89,86,109,43,53,Velvet,Skirt,1099
156,64,74,99,109,46,52,Polyster,Skirt,986
152,53,87,68,78,42,56,Polyster,Skirt,906
163,75,92,92,110,41,50,Velvet,Frock,1052
179,68,81,75,88,39,58,Polyster,Tunics,936
156,76,98,74,86,39,54,Polyster,Short Kurtis,906
144,58,96,91,89,40,62,Organza,Saree,1042
145,64,93,66,88,49,55,Organza,Punjabi Suits,1004
159,73,77,99,101,35,63,Velvet,Tunics,1083
161,53,83,72,98,45,55,Cotton,Short Kurtis,916
177,47,74,64,91,48,62,Cotton,Frock,885
166,60,94,70,107,38,49,Lenin,Tunics,979
159,75,92,76,105,44,52,Silk,Tunics,1055
174,46,76,100,95,38,54,Organza,Skirt,1048
156,41,79,99,84,37,61,Lenin,Saree,969
141,57,73,70,77,38,47,Silk,Skirt,950
167,43,70,78,93,47,50,Velvet,Skirt,1035
154,65,105,72,89,42,52,Polyster,Frock,895
177,41,82,89,93,43,57,Polyster,Frock,911
147,54,80,83,101,42,61,Cotton,Skirt,966
150,61,72,96,87,49,45,Silk,Short Kurtis,984
162,77,77,81,78,46,60,Organza,Saree,1007
144,68,74,100,93,46,59,Lenin,Short Kurtis,956
151,75,90,63,86,49,63,Velvet,Frock,992
144,72,102,83,80,46,63,Cotton,Short Kurtis,940
157,69,98,89,95,42,64,Polyster,Tunics,990
151,65,104,89,101,44,58,Velvet,Frock,1056
169,73,110,62,84,46,53,Velvet,Punjabi Suits,1061
149,52,108,76,110,36,55,Silk,Punjabi Suits,1064
159,53,97,66,102,46,53,Organza,Saree,1031
176,59,110,99,88,43,45,Organza,Short Kurtis,1047
161,59,77,81,93,44,49,Organza,Short Kurtis,974
162,78,98,95,79,50,59,Organza,Frock,1016
164,49,91,65,108,44,65,Cotton,Punjabi Suits,977
174,41,95,65,110,41,48,Silk,Tunics,1041
143,79,108,97,97,37,59,Cotton,Short Kurtis,977
159,79,84,74,104,50,64,Silk,Punjabi Suits,1066
144,60,98,91,76,49,65,Organza,Saree,1044
146,54,100,84,85,41,53,Cotton,Skirt,960
153,62,91,79,91,37,52,Lenin,Short Kurtis,928
163,60,72,90,84,50,60,Silk,Tunics,1034
175,69,86,79,110,35,53,Cotton,Saree,976
143,47,98,93,104,43,57,Cotton,Punjabi Suits,993
149,79,86,99,79,47,48,Velvet,Tunics,1053
175,62,73,68,87,48,58,Polyster,Short Kurtis,890
161,73,90,100,79,45,50,Polyster,Punjabi Suits,958
148,73,106,100,106,49,55,Lenin,Skirt,1066
160,76,79,68,102,39,63,Polyster,Short Kurtis,909
173,66,110,63,81,36,62,Cotton,Short Kurtis,927
168,45,80,100,97,37,52,Cotton,Short Kurtis,938
150,41,81,83,95,38,50,Lenin,Frock,895
163,53,99,95,91,42,53,Organza,Saree,1058
158,63,71,88,98,47,56,Organza,Frock,977
147,48,84,77,96,41,65,Lenin,Frock,919
168,61,81,66,94,49,49,Organza,Skirt,1012
165,63,72,85,85,35,59,Cotton,Short Kurtis,896
141,42,96,72,102,35,46,Polyster,Short Kurtis,884
179,80,106,60,95,43,56,Velvet,Short Kurtis,1048
152,49,90,84,88,42,56,Lenin,Frock,918
159,72,89,72,78,42,65,Polyster,Frock,879
166,53,85,70,97,47,55,Velvet,Saree,1051
175,56,82,63,99,43,46,Lenin,Frock,897
167,74,89,60,107,50,65,Cotton,Frock,933
179,73,108,84,92,49,53,Polyster,Skirt,1015
180,53,92,85,107,40,53,Silk,Tunics,1076
166,47,81,81,78,36,48,Polyster,Punjabi Suits,894
175,71,91,96,80,37,60,Polyster,Skirt,978
145,74,75,66,99,50,50,Organza,Short Kurtis,960
148,68,86,94,80,43,55,Lenin,Tunics,968
155,59,103,99,105,47,64,Velvet,Skirt,1150
159,74,79,76,88,44,53,Velvet,Tunics,1031
151,46,85,72,76,41,62,Polyster,Skirt,911
153,59,106,100,96,45,64,Cotton,Tunics,1028
169,56,97,79,86,44,65,Organza,Short Kurtis,1020
170,52,98,86,99,40,59,Velvet,Skirt,1106
172,80,94,63,86,38,47,Polyster,Skirt,925
146,54,72,87,85,41,59,Velvet,Punjabi Suits,1021
147,53,95,63,87,49,63,Silk,Short Kurtis,991
153,57,94,83,105,39,65,Lenin,Saree,1010
170,73,74,85,103,44,63,Polyster,Short Kurtis,942
154,76,101,63,86,42,52,Velvet,Short Kurtis,1004
149,43,82,76,101,48,56,Velvet,Skirt,1059
163,52,93,78,83,50,64,Polyster,Short Kurtis,929
169,78,105,74,107,36,58,Lenin,Tunics,1020
151,66,90,97,98,37,64,Silk,Skirt,1082
158,41,96,77,98,39,49,Organza,Skirt,1029
180,47,94,69,80,36,58,Cotton,Saree,934
173,64,104,72,107,49,63,Organza,Short Kurtis,1061
150,41,70,99,86,40,57,Velvet,Saree,1032
151,61,78,91,102,46,47,Polyster,Short Kurtis,917
143,72,84,81,76,49,61,Cotton,Tunics,935
158,54,96,66,93,37,53,Organza,Tunics,1002
178,67,99,66,89,43,60,Lenin,Tunics,989
153,53,89,78,86,44,46,Cotton,Short Kurtis,895
153,67,92,61,99,42,59,Silk,Skirt,1034
142,69,70,85,108,48,60,Lenin,Saree,983
178,60,87,83,104,40,61,Polyster,Saree,984
153,49,73,99,97,49,47,Cotton,Tunics,956
163,70,101,94,96,36,63,Silk,Tunics,1088
163,46,81,62,84,47,58,Cotton,Saree,914
140,65,84,89,94,50,60,Polyster,Saree,960
176,52,75,62,110,46,50,Velvet,Frock,992
152,41,82,73,83,41,45,Organza,Frock,912
173,41,106,65,82,46,52,Cotton,Short Kurtis,918
141,49,103,86,80,40,48,Polyster,Punjabi Suits,925
169,72,104,69,102,41,58,Velvet,Punjabi Suits,1089
155,70,109,97,86,42,45,Polyster,Saree,975
159,55,77,81,101,35,65,Polyster,Punjabi Suits,944
150,59,95,63,99,41,54,Polyster,Frock,878
178,76,101,78,84,47,62,Organza,Short Kurtis,1034
142,61,70,64,80,50,52,Polyster,Punjabi Suits,868
174,76,88,69,82,42,54,Velvet,Short Kurtis,1005
152,76,79,98,110,47,64,Cotton,Tunics,1013
152,51,98,60,78,48,54,Cotton,Punjabi Suits,916
169,76,90,96,107,41,64,Silk,Tunics,1106
166,49,95,86,82,42,48,Silk,Frock,978
179,77,93,62,97,37,57,Cotton,Skirt,966
151,55,88,85,82,38,63,Organza,Short Kurtis,983
151,59,82,77,81,48,46,Polyster,Frock,851
178,63,75,82,89,42,56,Velvet,Punjabi Suits,1048
151,68,77,65,106,44,58,Cotton,Frock,888
175,64,88,97,108,50,63,Velvet,Punjabi Suits,1139
143,66,92,95,109,41,58,Organza,Punjabi Suits,1069
153,57,92,89,90,40,46,Lenin,Tunics,967
145,57,101,60,90,36,54,Velvet,Frock,967
178,64,102,70,92,44,55,Polyster,Tunics,967
174,69,70,95,99,42,59,Organza,Skirt,1058
166,46,97,93,77,48,59,Cotton,Skirt,989
165,53,96,85,104,41,46,Organza,Short Kurtis,1017
163,47,71,91,106,42,63,Cotton,Tunics,975
152,76,79,73,82,38,48,Polyster,Frock,836
142,64,76,60,101,35,63,Silk,Skirt,998
143,52,110,100,109,38,54,Lenin,Punjabi Suits,1039
180,55,88,84,87,48,56,Polyster,Skirt,976
152,78,106,60,99,47,63,Silk,Frock,1009
173,75,80,67,88,43,63,Lenin,Tunics,963
173,45,73,77,91,40,58,Polyster,Tunics,921
141,60,83,92,86,50,65,Cotton,Frock,917
167,65,80,75,93,41,64,Polyster,Saree,944
144,78,93,87,110,49,57,Polyster,Skirt,1005
169,73,102,92,92,43,56,Cotton,Punjabi Suits,1006
159,55,93,78,80,38,59,Velvet,Punjabi Suits,1037
170,51,101,75,99,41,58,Cotton,Tunics,983
143,77,72,92,83,44,48,Lenin,Punjabi Suits,938
145,48,85,80,105,35,58,Polyster,Punjabi Suits,937
174,69,97,99,109,36,54,Cotton,Tunics,1023
163,68,86,61,106,43,50,Silk,Short Kurtis,991
143,60,93,69,91,46,46,Cotton,Punjabi Suits,922
165,46,73,82,100,36,56,Silk,Punjabi Suits,1018
140,74,89,97,78,40,52,Lenin,Punjabi Suits,961
166,61,97,75,110,36,47,Organza,Tunics,1040
146,73,96,100,83,42,55,Polyster,Punjabi Suits,965
165,47,92,63,107,36,65,Silk,Saree,1042
152,58,109,73,85,50,57,Organza,Punjabi Suits,1042
167,44,89,77,91,39,46,Silk,Short Kurtis,981
171,79,103,76,78,46,45,Lenin,Punjabi Suits,973
151,66,110,93,92,47,49,Lenin,Tunics,1019
159,57,80,74,82,48,51,Polyster,Short Kurtis,878
140,74,87,95,79,45,52,Polyster,Skirt,944
143,63,98,82,105,36,54,Organza,Frock,988
180,52,84,87,90,49,63,Lenin,Tunics,1010
171,71,93,68,84,40,45,Lenin,Skirt,954
